dataSubmitter,traceabilityLotCode,productDescription,quantity,unitOfMeasure,harvestDateAndLocation,traceabilityLotCodeSourceLocation,cteDate,referenceDocumentTypeNumber,contaminated,gtin,sgln,pgln,eventID,parentID
Ocean Mariscos,urn:epc:class:lgtin:0746252.533384.44b20f1e80fc6c8e4,pollock,574,lb,"2023-06-02 - 2023-06-12
Major Fishing Area 9
Northern Atlantic",0746252.33276,2023-06-14,urn:epcglobal:epcis:LANDING.0746252,0,urn:epc:idpat:sgtin:0746252.533384,urn:epc:id:sgln:0746252.33276,urn:epc:id:pgln:0746252.33276,0746252.33276.3041040,
Deep Fisheries,urn:epc:class:lgtin:0912972.643192.4f52ff31a3b6ba8c0,salmon,296,kg,"2023-07-18 - 2023-07-26
Major Fishing Area 9
Southern Pacific",0912972.84219,2023-07-27,urn:epcglobal:epcis:LANDING.0912972,0,urn:epc:idpat:sgtin:0912972.643192,urn:epc:id:sgln:0912972.84219,urn:epc:id:pgln:0912972.84219,0912972.84219.4388284,
Fresh Bay,urn:epc:class:lgtin:1321636.887893.e75a783da23e9b418,clams,148,kg,"2023-07-07 - 2023-07-17
Major Fishing Area 5
Southern Pacific",1321636.98872,2023-07-19,urn:epcglobal:epcis:LANDING.1321636,0,urn:epc:idpat:sgtin:1321636.887893,urn:epc:id:sgln:1321636.98872,urn:epc:id:pgln:1321636.98872,1321636.98872.7202571,
Ocean Delights,urn:epc:class:lgtin:0688974.737796.d28cdc59d9d061696,salmon,323,kg,"2023-06-11 - 2023-06-16
Major Fishing Area 8
Central Atlantic",0688974.62085,2023-06-19,urn:epcglobal:epcis:LANDING.0688974,0,urn:epc:idpat:sgtin:0688974.737796,urn:epc:id:sgln:0688974.62085,urn:epc:id:pgln:0688974.62085,0688974.62085.1239399,
Deep Aquatics,urn:epc:class:lgtin:0973119.224690.fc8bfe910051b45c4,grouper,849,lb,"2023-07-25 - 2023-08-03
Major Fishing Area 9
Northern Atlantic",0973119.45513,2023-08-05,urn:epcglobal:epcis:LANDING.0973119,0,urn:epc:idpat:sgtin:0973119.224690,urn:epc:id:sgln:0973119.45513,urn:epc:id:pgln:0973119.45513,0973119.45513.5272439,
Tidal Coast,urn:epc:class:lgtin:1392244.127393.c8e25d6702c9094bf,haddock,189,kg,"2023-06-17 - 2023-06-19
Major Fishing Area 10
Northern Atlantic",1392244.97244,2023-06-22,urn:epcglobal:epcis:LANDING.1392244,0,urn:epc:idpat:sgtin:1392244.127393,urn:epc:id:sgln:1392244.97244,urn:epc:id:pgln:1392244.97244,1392244.97244.4312750,
Ocean Catches,urn:epc:class:lgtin:0936963.587788.8c2f3c1fe5443c16a,tuna,464,kg,"2023-06-06 - 2023-06-10
Major Fishing Area 3
Central Atlantic",0936963.69103,2023-06-13,urn:epcglobal:epcis:LANDING.0936963,0,urn:epc:idpat:sgtin:0936963.587788,urn:epc:id:sgln:0936963.69103,urn:epc:id:pgln:0936963.69103,0936963.69103.9623612,
Deep Catches,urn:epc:class:lgtin:0812028.509585.ee4173d1e7cc3663e,barracuda,339,kg,"2023-07-13 - 2023-07-17
Major Fishing Area 10
Southern Atlantic",0812028.42473,2023-07-20,urn:epcglobal:epcis:LANDING.0812028,0,urn:epc:idpat:sgtin:0812028.509585,urn:epc:id:sgln:0812028.42473,urn:epc:id:pgln:0812028.42473,0812028.42473.3757959,
Tidal Delights,urn:epc:class:lgtin:1055343.384494.c409f747b80ef4b6e,mackerel,868,kg,"2023-06-18 - 2023-06-24
Major Fishing Area 8
Northern Atlantic",1055343.30391,2023-06-25,urn:epcglobal:epcis:LANDING.1055343,0,urn:epc:idpat:sgtin:1055343.384494,urn:epc:id:sgln:1055343.30391,urn:epc:id:pgln:1055343.30391,1055343.30391.7058215,
Aqua Catchers,urn:epc:class:lgtin:0682383.407507.5d56b588d9a5cc8de,trout,534,kg,"2023-07-10 - 2023-07-15
Major Fishing Area 9
Central Atlantic",0682383.34420,2023-07-18,urn:epcglobal:epcis:LANDING.0682383,0,urn:epc:idpat:sgtin:0682383.407507,urn:epc:id:sgln:0682383.34420,urn:epc:id:pgln:0682383.34420,0682383.34420.2563946,
