businessType,businessName,primaryPhone,streetAddress,city,state,zip,companyPrefix,sizeWeight,gln
seafoodFarm,Sea Aquafarm,379-886-6153,85686 Robinson Gardens,Walkershire,AK,95571,0932323,0.05,0932323.48189
landBasedReceiver,Marine Maritime,237-762-5427,3501 Amy Squares Apt. 403,North Jamesberg,CT,56138,1394496,0.15,1394496.15347
wholesaler,Select Foods,(789)353-5597,6042 Jamie Brook,Holmesborough,MP,01450,1188049,0.05,1188049.85140
seafoodFarm,Ocean Aquafarm,903-518-5424,76914 Gonzalez Junction,Sarahtown,AL,46659,0795140,0.05,0795140.20474
restaurant,Tasty Cuisine,(957)757-6946,6677 Davis Throughway,South Taraville,FL,82714,0765555,0.15,0765555.29100
landBasedReceiver,Deep Coast,487-697-8304,58837 Martin Plain Suite 297,Parkview,SC,39815,0842251,0.05,0842251.93976
groceryNoTransform,Delicious Bazaar,(629)245-8042,304 Alexander Fields Apt. 882,Lake Joshuaborough,FL,94492,0960707,0.05,0960707.38977
distributor,Gourmet Network,3462721886,2322 Morgan Prairie Apt. 705,Port Tinafort,MS,99365,0812196,0.05,0812196.68174
restaurant,Exquisite Grill,747-922-9728,38080 Joseph Turnpike Suite 084,East Andrewberg,AL,15742,1211516,0.15,1211516.23830
groceryNoTransform,Wholesome Mart,9637808906,13197 Rodriguez Bypass,Burtonfurt,AR,80908,0796357,0.8,0796357.43844
grocery,Delicious Corner,6762399749,34568 Edwards Fords Apt. 721,Dannyland,IL,30425,0765060,0.05,0765060.97872
packaging,Bio Containers,7179785003,526 Parker Forks,West Brianville,OH,87372,1160312,0.15,1160312.25287
packaging,Secure Pack,846-430-6351,539 Nelson Island,Ashleyshire,NC,24794,0875412,0.05,0875412.51943
grocery,Premium Emporium,3416911551,3324 Chavez Valley Apt. 312,North James,NV,86381,0773718,0.05,0773718.76047
landBasedReceiver,Deep Catches,(596)625-5472,75404 Miller Isle Apt. 010,New John,MA,62166,0872748,0.15,0872748.91527
restaurant,Charming Grill,3847570212,26281 Odonnell Haven Apt. 524,New John,TN,66597,1399485,0.05,1399485.59878
wholesaler,Wholesome Provisions,289-811-9996,01744 Hall Run Suite 390,Jonestown,IL,52297,1013183,0.05,1013183.56482
